H1,H2,H3,H4,S1,S2,S3,S4,V1,V2,V3,V4,LabelName
1367,14953,317,0,11554,864,1958,2261,3500,1311,378,11448,Ferramentas
0,13570,0,0,748,197,173,12452,1983,1274,289,10024,Musica
0,11960,0,0,645,391,1308,9616,2791,488,355,8326,Telefone
0,10609,0,0,1800,1843,5472,1494,584,1223,294,8508,Internet
9701,4482,325,0,7230,5297,1272,709,3083,354,135,10936,Mensagem
5586,9055,0,0,5676,840,1682,6443,3536,820,289,9996,Galeria
8785,3210,659,0,2080,6678,3025,871,2864,411,165,9214,Contactos
1781,5327,7172,0,3133,5076,5209,862,3228,1873,230,8949,Galaxy_Store
0,14760,0,0,9264,3453,1411,632,80,4504,600,9576,S_Planner
291,10253,2794,0,7709,2351,1773,1505,1644,1773,404,9517,Email
0,15612,9,0,10205,2726,915,1775,1353,3527,353,10388,Radio
0,12650,0,0,1763,254,139,10494,2376,939,472,8863,Definicoes
980,14881,129,0,3260,2331,1752,8647,3076,1029,212,11673,S_Health
0,3846,11404,0,1141,4569,6022,3518,3062,990,474,10724,Video
0,13090,0,0,183,709,1835,10363,2896,1290,297,8607,Calculadora
0,13224,0,0,489,582,712,11441,1852,1631,330,9411,S_Voice
4032,8341,1082,0,2641,2747,2710,5357,4172,1124,552,7607,Chrome
0,12023,520,0,5167,2317,1948,3111,958,1906,413,9266,Camara
0,13310,18,0,8666,707,1597,2358,2759,1138,487,8944,Relogio
0,15875,0,0,8300,843,1429,5303,1913,1715,246,12001,Gestor_Inteligente
264,10722,2808,0,7696,2402,1807,1889,1938,1943,411,9502,Email
0,14514,0,0,9285,3728,895,606,161,4181,575,9597,S_Planner
0,12508,0,0,1798,1780,6745,2185,1718,1875,344,8571,Internet
1795,5921,7040,0,3175,5862,5019,700,2883,2676,235,8962,Galaxy_Store
8814,3469,942,0,2166,7110,3062,887,3458,393,144,9230,Contactos
0,14157,0,0,750,206,212,12989,2403,1294,354,10106,Musica
0,13338,0,0,1759,253,271,11055,3066,940,474,8858,Definicoes
9579,4439,366,0,7002,5274,1261,847,2987,323,137,10937,Mensagem
0,13060,512,0,5156,2557,2413,3446,1557,2334,414,9267,Camara
1222,13137,161,0,2581,2427,1825,7687,2106,1052,185,11177,S_Health
5560,8959,1,0,5731,820,1593,6376,3339,887,295,9999,Galeria
0,17160,0,0,8143,977,2905,5135,2581,2532,233,11814,Gestor_Inteligente
0,14262,12,0,8676,1099,1879,2620,3612,1260,446,8956,Relogio
0,12768,0,0,635,424,1807,9902,3540,545,358,8325,Telefone
0,3584,11420,0,1139,4490,6174,3201,2824,985,445,10750,Video
0,12198,0,0,182,758,1134,10124,2102,1193,317,8586,Calculadora
0,12656,0,0,491,581,561,11023,1344,1568,337,9407,S_Voice
3966,6344,1139,0,2582,2677,1808,4382,2974,341,565,7569,Chrome
0,15997,5,0,10219,2509,872,2402,1959,3292,355,10396,Radio
1351,15221,328,0,11556,1194,1712,2438,3509,1480,456,11455,Ferramentas
0,13338,0,0,499,579,572,11688,2166,1429,325,9418,S_Voice
167,10853,2900,0,8147,2504,2085,1184,1379,2008,601,9932,Email
4034,7692,1114,0,2597,2684,2507,5052,3942,732,558,7608,Chrome
0,15004,0,0,9266,3909,1227,602,35,4791,583,9595,S_Planner
5576,7993,3,0,5654,510,1113,6295,2300,985,277,10010,Galeria
1358,15117,289,0,11469,1011,2144,2140,3350,1638,320,11456,Ferramentas
3,12317,0,0,636,193,944,10547,3469,173,379,8299,Telefone
9424,4960,336,0,7740,5361,1229,390,3382,298,130,10910,Mensagem
0,13669,4,0,8675,735,1732,2531,2872,1354,476,8971,Relogio
0,12508,0,0,1783,1571,6690,2464,1755,1843,333,8577,Internet
0,12636,0,0,1742,270,162,10462,2341,953,478,8864,Definicoes
0,3508,11372,0,1139,4389,6243,3109,2755,943,420,10762,Video
0,11770,0,0,181,532,849,10208,2094,762,312,8602,Calculadora
0,15250,0,0,10217,2788,1260,985,384,3764,702,10400,Radio
693,13976,87,0,3131,2296,1377,7952,1980,1010,230,11536,S_Health
0,12162,494,0,5067,2348,1948,3293,1322,1652,396,9286,Camara
8828,3837,766,0,2209,7035,3310,877,3646,401,193,9191,Contactos
0,13080,0,0,728,227,205,11920,1623,1152,287,10018,Musica
0,16641,0,0,7975,835,1980,5851,2791,1873,224,11753,Gestor_Inteligente
1917,4530,6661,0,3146,5101,4122,739,2024,1886,231,8967,Galaxy_Store
7332,11989,0,0,2156,8284,2363,6518,3739,2571,420,12591,Galeria
56,13945,3543,0,9300,3752,2607,1885,1960,3026,788,11770,Email
48,17232,0,0,317,1639,2707,12617,5610,907,1979,8784,Telefone
11206,5824,369,0,2925,6975,6598,901,5347,288,778,10986,Contactos
11566,6611,47,0,7949,9723,278,274,1420,2715,240,13849,Mensagem
0,15960,0,0,1606,2564,10084,1706,1894,2883,416,10767,Internet
0,16392,608,0,4314,6247,2262,4177,2329,2487,939,11245,Camara
0,17024,0,0,819,504,1513,14188,1978,1687,461,12898,Musica
5905,10139,596,0,3143,4713,3937,4847,4430,1809,3010,7391,Chrome
0,17017,0,0,853,2592,1603,11969,966,3514,671,11866,S_Voice
0,15252,0,0,10,2153,1672,11417,1882,2215,873,10282,Calculadora
67,5713,14085,0,3381,1658,12377,2449,2413,3015,374,14063,Video
2021,16982,40,0,2560,4005,2262,10216,3643,832,383,14185,S_Health
15,20425,0,0,6116,8090,1071,5163,1210,4136,267,14827,Gestor_Inteligente
