H1,H2,H3,H4,H5,H6,H7,H8,S1,S2,S3,S4,S5,S6,S7,S8,V1,V2,V3,V4,V5,V6,V7,V8,LabelName
372,995,6571,8382,86,231,0,0,10404,1150,461,403,790,1168,1276,985,183,3317,1031,280,208,170,318,11130,Ferramentas
0,0,3373,10197,0,0,0,0,484,264,137,60,56,117,1040,11412,122,1861,690,584,204,85,355,9669,Musica
0,0,9707,2253,0,0,0,0,333,312,239,152,452,856,1104,8512,546,2245,428,60,54,301,4059,4267,Telefone
0,0,1061,9548,0,0,0,0,1132,668,164,1679,3424,2048,680,814,0,584,572,651,166,128,781,7727,Internet
5691,4010,1333,3149,134,191,0,0,3926,3304,4696,601,554,718,169,540,1915,1168,244,110,63,72,189,10747,Mensagem
95,5491,2112,6943,0,0,0,0,885,4791,348,492,647,1035,1365,5078,986,2550,438,382,157,132,413,9583,Galeria
8764,21,681,2529,248,411,0,0,1749,331,1191,5487,2146,879,289,582,1519,1345,315,96,54,111,590,8624,Contactos
1781,0,56,5271,1321,5851,0,0,2931,202,884,4192,3964,1245,341,521,13,3215,1623,250,87,143,661,8288,Galaxy_Store
0,0,6527,8233,0,0,0,0,8298,966,795,2658,1086,325,241,391,0,80,4114,390,198,402,137,9439,S_Planner
291,0,4176,6077,681,2113,0,0,6402,1307,579,1772,1214,559,786,719,0,1644,1481,292,87,317,1299,8218,Email
0,0,5159,10453,9,0,0,0,9550,655,577,2149,527,388,952,823,0,1353,3307,220,89,264,324,10064,Radio
0,0,1614,11036,0,0,0,0,1276,487,177,77,44,95,954,9540,474,1902,529,410,237,235,418,8445,Definicoes
683,297,8748,6133,63,66,0,0,1976,1284,1220,1111,998,754,1285,7362,557,2519,776,253,102,110,924,10749,S_Health
0,0,0,3846,11404,0,0,0,1071,70,256,4313,4731,1291,1353,2165,1268,1794,584,406,205,269,564,10160,Video
0,0,9994,3096,0,0,0,0,24,159,327,382,930,905,1282,9081,144,2752,1227,63,35,262,2261,6346,Calculadora
0,0,8128,5096,0,0,0,0,209,280,392,190,339,373,757,10684,7,1845,1344,287,110,220,553,8858,S_Voice
2447,1585,2695,5646,393,689,0,0,447,2194,543,2204,1412,1298,1472,3885,159,4013,1039,85,111,441,2272,5335,Chrome
0,0,2675,9348,517,3,0,0,2939,2228,1829,488,982,966,1063,2048,4,954,1643,263,137,276,1224,8042,Camara
0,0,8530,4780,18,0,0,0,1620,7046,337,370,756,841,1182,1176,591,2168,856,282,283,204,110,8834,Relogio
0,0,10301,5574,0,0,0,0,3750,4550,463,380,501,928,867,4436,132,1781,1395,320,102,144,689,11312,Gestor_Inteligente
264,0,4349,6373,618,2190,0,0,6701,995,799,1603,1246,561,1100,789,3,1935,1615,328,89,322,1260,8242,Email
0,0,6534,7980,0,0,0,0,8391,894,1080,2648,639,256,222,384,0,161,3715,466,202,373,151,9446,S_Planner
0,0,1070,11438,0,0,0,0,1156,642,171,1609,3668,3077,1111,1074,0,1718,1060,815,195,149,778,7793,Internet
1795,0,29,5892,1264,5776,0,0,2930,245,1062,4800,4043,976,303,397,1,2882,2416,260,95,140,646,8316,Galaxy_Store
8784,30,590,2879,358,584,0,0,1732,434,1333,5777,2021,1041,272,615,1514,1944,289,104,52,92,581,8649,Contactos
0,0,3224,10933,0,0,0,0,487,263,139,67,80,132,1063,11926,132,2271,679,615,245,109,346,9760,Musica
0,0,1658,11680,0,0,0,0,1295,464,174,79,51,220,1343,9712,447,2619,520,420,233,241,415,8443,Definicoes
5609,3970,1410,3029,135,231,0,0,3855,3147,4696,578,557,704,262,585,2144,843,224,99,67,70,185,10752,Mensagem
0,0,2686,10374,507,5,0,0,2970,2186,1837,720,1250,1163,1186,2260,15,1542,2069,265,132,282,1229,8038,Camara
868,354,8563,4574,82,79,0,0,1349,1232,1402,1025,943,882,911,6776,394,1712,846,206,78,107,925,10252,S_Health
73,5487,2160,6799,1,0,0,0,926,4805,398,422,790,803,1317,5059,862,2477,537,350,156,139,415,9584,Galeria
0,0,10111,7049,0,0,0,0,3549,4594,451,526,1533,1372,839,4296,5,2576,2275,257,92,141,672,11142,Gestor_Inteligente
0,0,8524,5738,12,0,0,0,1770,6906,467,632,809,1070,1327,1293,957,2655,963,297,256,190,119,8837,Relogio
0,0,9867,2901,0,0,0,0,341,294,257,167,596,1211,1109,8793,655,2885,489,56,66,292,4076,4249,Telefone
0,0,0,3584,11420,0,0,0,1071,68,272,4218,4939,1235,1169,2032,1040,1784,581,404,201,244,596,10154,Video
0,0,10002,2196,0,0,0,0,31,151,360,398,703,431,1040,9084,268,1834,1122,71,35,282,2163,6423,Calculadora
0,0,8121,4535,0,0,0,0,211,280,397,184,165,396,735,10288,43,1301,1288,280,109,228,541,8866,S_Voice
2385,1581,2712,3632,364,775,0,0,413,2169,620,2057,959,849,814,3568,215,2759,271,70,101,464,2241,5328,Chrome
0,0,5245,10752,5,0,0,0,9556,663,385,2124,477,395,1348,1054,0,1959,2897,395,96,259,347,10049,Radio
285,1066,5695,9526,84,244,0,0,10380,1176,490,704,805,907,1544,894,90,3419,1167,313,286,170,331,11124,Ferramentas
0,0,8308,5030,0,0,0,0,230,269,398,181,191,381,733,10955,95,2071,1140,289,119,206,533,8885,S_Voice
167,0,4063,6790,661,2239,0,0,6439,1708,848,1656,1504,581,735,449,0,1379,1544,464,262,339,1285,8647,Email
2412,1622,2723,4969,384,730,0,0,386,2211,574,2110,1308,1199,1398,3654,172,3770,643,89,122,436,2296,5312,Chrome
0,0,6743,8261,0,0,0,0,8242,1024,906,3003,885,342,200,402,0,35,4329,462,192,391,155,9440,S_Planner
112,5464,1943,6050,3,0,0,0,1135,4519,279,231,583,530,1320,4975,747,1553,585,400,149,128,439,9571,Galeria
272,1086,5999,9118,73,216,0,0,10237,1232,483,528,925,1219,1379,761,38,3312,1352,286,168,152,313,11143,Ferramentas
0,3,9864,2453,0,0,0,0,279,357,122,71,188,756,1520,9027,1543,1926,111,62,56,323,4011,4288,Telefone
5239,4185,1331,3629,144,192,0,0,3933,3807,4451,910,800,429,141,249,1602,1780,196,102,72,58,222,10688,Mensagem
0,0,8583,5086,4,0,0,0,1116,7559,357,378,829,903,1235,1296,633,2239,1070,284,259,217,116,8855,Relogio
0,0,1129,11379,0,0,0,0,1084,699,158,1413,3825,2865,1379,1085,0,1755,1072,771,192,141,793,7784,Internet
0,0,1680,10956,0,0,0,0,1260,482,186,84,39,123,976,9486,443,1898,537,416,245,233,414,8450,Definicoes
0,0,0,3508,11372,0,0,0,1071,68,306,4083,4904,1339,1191,1918,968,1787,590,353,189,231,601,10161,Video
0,0,9927,1843,0,0,0,0,21,160,314,218,548,301,1061,9147,580,1514,711,51,43,269,2407,6195,Calculadora
0,0,5610,9640,0,0,0,0,9546,671,481,2307,791,469,653,332,0,384,2803,961,369,333,351,10049,Radio
487,206,8880,5096,49,38,0,0,2102,1029,1220,1076,841,536,961,6991,317,1663,774,236,105,125,939,10597,S_Health
0,0,2753,9409,494,0,0,0,2774,2293,1807,541,1023,925,1197,2096,7,1315,1403,249,125,271,1219,8067,Camara
8808,20,719,3118,276,490,0,0,1738,471,1723,5312,2162,1148,294,583,1246,2400,308,93,54,139,575,8616,Contactos
0,0,3407,9673,0,0,0,0,486,242,162,65,95,110,916,11004,20,1603,548,604,210,77,347,9671,Musica
0,0,10336,6305,0,0,0,0,3227,4748,473,362,733,1247,1250,4601,307,2484,1614,259,101,123,677,11076,Gestor_Inteligente
1917,0,33,4497,1055,5606,0,0,2939,207,728,4373,3120,1002,311,428,7,2017,1637,249,107,124,669,8298,Galaxy_Store
0,7332,2936,9053,0,0,0,0,96,2060,6698,1586,1631,732,602,5916,50,3689,2223,348,204,216,626,11965,Galeria
56,0,3971,9974,436,3107,0,0,708,8592,1832,1920,1340,1267,890,995,0,1960,2505,521,101,687,2132,9638,Email
0,48,13927,3305,0,0,0,0,0,317,1156,483,863,1844,1696,10921,3847,1763,704,203,121,1858,7750,1034,Telefone
